Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Inositol phosphate metabolism	5/74	2.720404e-01	5.451849e-01	0	0	1.461982e+00	1.903214e+00	MIOX;ALDH6A1;INPP5J;PIK3C2G;PLCD4
KEGG_2019_Human	Gastric cancer	9/149	2.735557e-01	5.451849e-01	0	0	1.297652e+00	1.682082e+00	CDKN2B;ABCB1;CCND1;FGF9;EGF;FGF1;EGFR;FGF10;DDB2
KEGG_2019_Human	Small cell lung cancer	6/93	2.771182e-01	5.484228e-01	0	0	1.391563e+00	1.785808e+00	CDKN2B;CCND1;COL4A1;LAMA4;COL4A6;DDB2
KEGG_2019_Human	Vascular smooth muscle contraction	8/132	2.871201e-01	5.642707e-01	0	0	1.302015e+00	1.624726e+00	EDNRA;EDN1;CALCRL;CYP4A11;KCNMA1;CALML3;ADM;ADCY8
KEGG_2019_Human	Influenza A	10/171	2.910328e-01	5.680158e-01	0	0	1.253716e+00	1.547486e+00	CXCL10;HLA-DRB4;CCL5;HLA-DPB1;TMPRSS2;TLR7;PLG;HLA-DQA1;TLR3;HLA-DQB1
KEGG_2019_Human	Endometrial cancer	4/58	2.939559e-01	5.697913e-01	0	0	1.494063e+00	1.829219e+00	CCND1;EGF;EGFR;DDB2
KEGG_2019_Human	Vitamin digestion and absorption	2/24	3.150018e-01	6.064320e-01	0	0	1.832820e+00	2.117231e+00	SCARB1;SLC23A1
KEGG_2019_Human	Riboflavin metabolism	1/8	3.213913e-01	6.104277e-01	0	0	2.879365e+00	3.268356e+00	ENPP3
KEGG_2019_Human	Sulfur relay system	1/8	3.213913e-01	6.104277e-01	0	0	2.879365e+00	3.268356e+00	TST
KEGG_2019_Human	Choline metabolism in cancer	6/99	3.270063e-01	6.169519e-01	0	0	1.301373e+00	1.454643e+00	PDGFRB;PDGFRA;SLC44A4;EGF;PDGFD;EGFR
KEGG_2019_Human	Inflammatory mediator regulation of TRP channels	6/100	3.354487e-01	6.286887e-01	0	0	1.287460e+00	1.406275e+00	CYP2J2;TRPA1;CYP4A11;CALML3;ADCY8;KNG1
KEGG_2019_Human	Cellular senescence	9/160	3.456279e-01	6.392987e-01	0	0	1.202421e+00	1.277443e+00	CDKN2B;CCND2;CCND1;IGFBP3;SERPINE1;CALML3;HLA-F;ETS1;HLA-G
KEGG_2019_Human	Hippo signaling pathway	9/160	3.456279e-01	6.392987e-01	0	0	1.202421e+00	1.277443e+00	CCND2;RASSF2;CCND1;SERPINE1;ITGB2;FGF1;BMPR1B;AREG;FRMD1
KEGG_2019_Human	Axon guidance	10/181	3.532751e-01	6.454267e-01	0	0	1.179775e+00	1.227565e+00	NTNG1;SEMA5B;CXCR4;PAK6;PLXNB1;SEMA3F;SLIT2;BMPR1B;EPHA3;PDK1
KEGG_2019_Human	Sulfur metabolism	1/9	3.535022e-01	6.454267e-01	0	0	2.519312e+00	2.619746e+00	TST
KEGG_2019_Human	Lysosome	7/123	3.636095e-01	6.596249e-01	0	0	1.217050e+00	1.231259e+00	HYAL1;ATP6V0A4;CTSW;CTSV;ATP6V0D2;AP1M2;CTSS
KEGG_2019_Human	Fatty acid elongation	2/27	3.674604e-01	6.623649e-01	0	0	1.612627e+00	1.614465e+00	ECHS1;HADH
KEGG_2019_Human	Hypertrophic cardiomyopathy (HCM)	5/85	3.752154e-01	6.720629e-01	0	0	1.260228e+00	1.235345e+00	EDN1;ITGA4;TNNC1;TNNT2;ITGA5
KEGG_2019_Human	Phototransduction	2/28	3.846113e-01	6.727947e-01	0	0	1.550522e+00	1.481557e+00	GNGT1;CALML3
KEGG_2019_Human	Ether lipid metabolism	3/47	3.849453e-01	6.727947e-01	0	0	1.374482e+00	1.312155e+00	GAL3ST1;LPCAT1;ENPP6
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	10/186	3.851334e-01	6.727947e-01	0	0	1.145955e+00	1.093431e+00	C3;GNGT1;ANGPT2;CCND1;CALML3;HLA-F;CCR5;HLA-G;TLR3;VEGFA
